Frame,Environment,TP,FP,FN,Precision,Recall
1,narrow,0,0,0,0,0
2,narrow,0,0,0,0,0
3,narrow,0,0,0,0,0
4,narrow,0,0,0,0,0
5,narrow,0,0,0,0,0
6,narrow,0,0,0,0,0
7,narrow,0,0,0,0,0
8,narrow,0,0,0,0,0
9,narrow,0,0,0,0,0
10,narrow,0,0,0,0,0
11,narrow,0,0,0,0,0
12,narrow,0,0,0,0,0
13,narrow,0,0,0,0,0
14,narrow,0,0,0,0,0
15,narrow,0,0,0,0,0
16,narrow,0,0,0,0,0
17,narrow,0,0,0,0,0
18,narrow,0,0,0,0,0
19,narrow,0,0,0,0,0
20,narrow,0,0,0,0,0
21,narrow,0,0,0,0,0
22,narrow,0,0,0,0,0
23,narrow,0,0,0,0,0
24,narrow,0,0,0,0,0
25,narrow,0,0,0,0,0
26,narrow,0,0,0,0,0
27,narrow,0,0,0,0,0
28,narrow,0,0,0,0,0
29,narrow,0,0,0,0,0
30,narrow,0,0,0,0,0
31,narrow,0,0,0,0,0
32,narrow,0,0,0,0,0
33,narrow,0,0,0,0,0
34,narrow,0,0,0,0,0
35,narrow,0,0,0,0,0
36,narrow,0,0,0,0,0
37,narrow,0,0,0,0,0
38,narrow,0,0,0,0,0
39,narrow,0,0,0,0,0
40,narrow,0,0,0,0,0
41,narrow,0,0,0,0,0
42,narrow,0,0,0,0,0
43,narrow,0,0,0,0,0
44,narrow,0,0,0,0,0
45,narrow,0,0,0,0,0
46,narrow,0,0,0,0,0
47,narrow,0,0,0,0,0
48,narrow,0,0,0,0,0
49,narrow,0,0,0,0,0
50,narrow,0,0,0,0,0
51,narrow,0,0,0,0,0
52,narrow,0,0,0,0,0
53,narrow,0,0,0,0,0
54,narrow,0,0,0,0,0
55,narrow,0,0,0,0,0
56,narrow,0,0,0,0,0
57,narrow,0,0,0,0,0
58,narrow,0,0,0,0,0
59,narrow,0,0,0,0,0
60,narrow,0,0,0,0,0
61,narrow,0,0,0,0,0
62,narrow,0,0,0,0,0
63,narrow,0,0,0,0,0
64,narrow,0,0,0,0,0
65,narrow,0,0,0,0,0
66,narrow,0,0,0,0,0
67,narrow,0,0,0,0,0
68,narrow,0,0,0,0,0
69,narrow,0,0,0,0,0
70,narrow,0,0,0,0,0
71,narrow,0,0,0,0,0
72,narrow,0,0,0,0,0
73,narrow,0,0,0,0,0
74,narrow,0,0,0,0,0
75,narrow,0,0,0,0,0
76,narrow,0,0,0,0,0
77,narrow,0,0,0,0,0
78,narrow,0,0,0,0,0
79,narrow,0,0,0,0,0
80,narrow,0,0,0,0,0
81,narrow,0,2,0,0.0,0
82,narrow,0,0,0,0,0
83,narrow,0,0,0,0,0
84,narrow,0,0,0,0,0
85,narrow,0,0,0,0,0
86,narrow,0,0,0,0,0
87,narrow,0,0,0,0,0
88,narrow,0,0,0,0,0
89,narrow,0,0,0,0,0
90,narrow,0,0,0,0,0
91,narrow,0,0,0,0,0
92,narrow,0,0,0,0,0
93,narrow,0,0,0,0,0
94,narrow,0,0,0,0,0
95,narrow,0,0,0,0,0
96,narrow,0,0,0,0,0
97,narrow,0,0,0,0,0
98,narrow,0,0,0,0,0
99,narrow,0,0,0,0,0
100,narrow,0,0,0,0,0
101,narrow,0,0,0,0,0
102,narrow,0,0,0,0,0
103,narrow,0,0,0,0,0
104,narrow,0,0,0,0,0
105,narrow,0,0,0,0,0
106,narrow,0,0,0,0,0
107,narrow,0,0,0,0,0
108,narrow,0,0,0,0,0
109,narrow,0,0,0,0,0
110,narrow,0,0,0,0,0
111,narrow,0,0,0,0,0
112,narrow,0,0,0,0,0
113,narrow,0,0,0,0,0
114,narrow,0,0,0,0,0
115,narrow,0,0,0,0,0
116,narrow,0,0,0,0,0
117,narrow,0,0,0,0,0
118,narrow,0,0,0,0,0
119,narrow,0,0,0,0,0
120,narrow,0,0,0,0,0
121,narrow,0,0,0,0,0
122,narrow,0,0,0,0,0
123,narrow,0,0,0,0,0
124,narrow,0,0,0,0,0
125,narrow,0,0,0,0,0
126,narrow,0,0,0,0,0
127,narrow,0,0,0,0,0
128,narrow,0,0,0,0,0
129,narrow,0,0,0,0,0
130,narrow,0,0,0,0,0
131,narrow,0,0,0,0,0
132,narrow,0,0,0,0,0
133,narrow,0,0,0,0,0
134,narrow,0,0,0,0,0
135,narrow,0,0,0,0,0
136,narrow,0,0,0,0,0
137,narrow,0,0,0,0,0
138,narrow,0,0,0,0,0
139,narrow,0,0,0,0,0
140,narrow,0,0,0,0,0
141,narrow,0,0,0,0,0
142,narrow,0,0,0,0,0
143,narrow,0,0,0,0,0
144,narrow,0,0,0,0,0
145,narrow,0,0,0,0,0
146,narrow,0,0,0,0,0
147,narrow,0,0,0,0,0
148,narrow,0,0,0,0,0
149,narrow,0,0,0,0,0
150,narrow,0,0,0,0,0
151,narrow,0,0,0,0,0
152,narrow,0,0,0,0,0
153,narrow,0,0,0,0,0
154,narrow,0,0,0,0,0
155,narrow,0,0,0,0,0
156,narrow,0,0,0,0,0
157,narrow,0,0,0,0,0
158,narrow,0,0,0,0,0
159,narrow,0,0,0,0,0
160,narrow,0,0,0,0,0
161,narrow,0,0,0,0,0
162,narrow,0,0,0,0,0
163,narrow,0,0,0,0,0
164,narrow,0,0,0,0,0
165,narrow,0,0,0,0,0
166,narrow,0,0,0,0,0
167,narrow,0,0,0,0,0
168,narrow,0,0,0,0,0
169,narrow,0,0,0,0,0
170,narrow,0,0,0,0,0
171,narrow,0,0,0,0,0
172,narrow,0,0,0,0,0
173,narrow,0,0,0,0,0
174,narrow,0,0,0,0,0
175,narrow,0,0,0,0,0
176,narrow,0,0,0,0,0
177,narrow,0,0,0,0,0
178,narrow,0,0,0,0,0
179,narrow,0,0,0,0,0
180,narrow,0,0,0,0,0
181,narrow,0,0,0,0,0
182,narrow,0,0,0,0,0
183,narrow,0,0,0,0,0
184,narrow,0,0,0,0,0
185,narrow,0,0,0,0,0
186,narrow,0,0,0,0,0
187,narrow,0,0,0,0,0
188,narrow,0,0,0,0,0
189,narrow,0,0,0,0,0
190,narrow,0,0,0,0,0
191,narrow,0,0,0,0,0
192,narrow,0,0,0,0,0
193,narrow,0,0,0,0,0
194,narrow,0,0,0,0,0
195,narrow,0,0,0,0,0
196,narrow,0,0,0,0,0
197,narrow,0,0,0,0,0
198,narrow,0,0,0,0,0
199,narrow,0,0,0,0,0
200,narrow,0,0,0,0,0
201,narrow,0,0,0,0,0
202,narrow,0,0,0,0,0
203,narrow,0,0,0,0,0
204,narrow,0,0,0,0,0
